ORDER_ID,ORDER_DATE,REGION,PRODUCT,QUANTITY,UNIT_PRICE,STATUS
1001,2026-07-01,NORTH,WIDGET,3,9.99,SHIPPED
1002,2026-07-01,south,GADGET,1,24.50,NEW
1003,2026-07-01,EAST,GIZMO,5,14.25,SHIPPED
1004,2026-07-01,WEST,WIDGET,2,9.99,SHIPPED
1005,2026-07-01,NORTH,GADGET,4,24.50,CANCELLED
1006,2026-07-01,EAST,WIDGET,1,9.99,NEW
1007,2026-07-01,SOUTH,GIZMO,2,14.25,SHIPPED
1008,2026-07-01,WEST,GADGET,6,24.50,SHIPPED
1009,2026-07-01,NORTH,GIZMO,1,14.25,NEW
1010,2026-07-01,EAST,GADGET,3,24.50,SHIPPED
1011,2026-07-01,SOUTH,WIDGET,8,9.99,SHIPPED
1012,2026-07-01,WEST,GIZMO,2,14.25,NEW
